,psnr,mse,ssim,render_time
0,31.32730727525711,0.0007366637042085027,0.9999792049371233,11.393599271774292
1,30.68305651508931,0.0008544651383884458,0.9999781899076818,9.599998950958252
2,30.15531152700182,0.0009648700975092739,0.999974774046951,9.41887617111206
3,29.68698222771949,0.0010747359522874209,0.9999693370786311,9.452258348464966
4,28.393075549493663,0.001447746237891282,0.999966097994151,9.504974365234375
5,29.73408575899741,0.001063142363701823,0.9999710301521828,9.526302576065063
6,30.041035419093628,0.0009905957447868127,0.9999746113225386,9.570480108261108
7,27.187209394409543,0.0019110808495396774,0.9999443046513846,9.563735008239746
8,30.17568088174633,0.0009603552432256468,0.9999758289177719,9.684414863586426
9,31.013739856778344,0.0007918191745171307,0.9999807299760755,9.739750146865845
10,29.374463575352358,0.0011549246279425839,0.9999690669674872,9.739731073379517
11,30.289028942297964,0.0009356148489077336,0.9999767595294419,9.732575416564941
12,28.810218632984004,0.0013151586226722405,0.9999609487734777,9.740870237350464
13,29.448223018408083,0.0011354753175454983,0.999969559519421,9.875080108642578
14,30.179688453700987,0.0009594694577270929,0.9999749245867297,9.907949447631836
15,28.828318404109016,0.001309688938700566,0.9999699188324965,9.967633485794067
16,30.199565351003436,0.000955088168019021,0.9999765180188209,10.012703657150269
17,28.821485621519436,0.0013117511023848856,0.9999688058295232,10.037388563156128
18,29.168367490849864,0.0012110532818671537,0.9999673860117598,10.023765802383423
19,29.744959489466957,0.001060483830407963,0.9999725784653442,10.060540199279785
20,30.394923974041937,0.0009130774191430458,0.9999759347206623,10.18534541130066
21,29.793191468655774,0.001048771442267888,0.9999690470940248,10.168757438659668
22,28.391736522130486,0.0014481926793708728,0.9999662992034067,10.158876657485962
23,31.26478676550125,0.0007473453272419007,0.9999827313626349,10.164204835891724
24,29.667241909811494,0.0010796321505806596,0.9999710698603275,10.166893482208252
25,28.057670512811768,0.001563986315318117,0.9999633867192519,10.17721962928772
26,29.67579155243515,0.001077508847219428,0.9999712059159271,10.207037925720215
27,28.74043201398613,0.001336462565458606,0.9999608072352921,10.184987545013428
28,30.556630041108022,0.0008797048693524116,0.9999772575213419,10.17732048034668
29,29.33588210042993,0.0011652303555460058,0.9999666502282898,10.195545434951782
30,28.92513826848699,0.0012808143159668641,0.9999684615688896,10.19611382484436
31,29.898343256498933,0.001023683431831298,0.9999725284942931,10.171489477157593
32,29.96893480024753,0.001007178670588374,0.9999747366487186,10.27366828918457
33,29.931301603119472,0.0010159441634958553,0.9999741532799111,10.17847728729248
34,30.588103370390535,0.0008733526914309947,0.99997913911883,10.334314346313477
35,31.495434820845297,0.0007086903479711985,0.9999838022569364,10.480437994003296
36,30.216125654236365,0.0009514532075986277,0.9999750483021912,9.946577072143555
37,29.35821766488519,0.0011592530134613024,0.9999705769943132,9.948532581329346
38,31.080399497887747,0.0007797583789755612,0.9999820368588639,10.19306206703186
39,29.777989014416523,0.0010524490939260076,0.9999701834572148,10.182892799377441
40,31.350060856706197,0.0007328142643059575,0.999983044754685,10.50677227973938
41,31.455452241096996,0.0007152449100562447,0.9999798789361993,10.786848545074463
42,30.486942452944103,0.0008939346156594508,0.9999748389640869,10.201967716217041
43,29.917528960882244,0.0010191711088330447,0.9999747813660248,10.920037508010864
44,30.011189218673422,0.000997426903291026,0.999974228543273,10.369657039642334
45,30.961006638589346,0.0008014922662869598,0.9999811743738638,10.228798627853394
46,30.93818526446613,0.0008057150455859675,0.9999757417324059,10.026887893676758
47,29.393298460284623,0.0011499266895485655,0.9999688061927507,10.197757005691528
48,29.225085335707437,0.0011953400378804855,0.9999656388038626,10.344880819320679
49,28.996735710974217,0.001259872014013486,0.9999664415060597,10.181353569030762
50,29.24381958351958,0.0011901947812600557,0.9999694055163098,10.182676792144775
51,30.886336687082796,0.0008153917843090261,0.9999800036142523,10.65104866027832
52,29.668323818156072,0.0010793632276262077,0.9999720003660241,10.12204909324646
53,29.78037015739957,0.0010518722169442917,0.9999747678747701,10.094874858856201
54,31.179730768342072,0.0007621262549626017,0.9999812399122494,10.100246667861938
55,30.302192326552934,0.0009327833111932614,0.9999746238761593,9.957486391067505
56,28.73276092800186,0.0013388252892192521,0.9999617885698098,10.154376745223999
57,29.81062307133601,0.0010445703465979412,0.999971984637042,10.647633790969849
58,29.782654892832152,0.0010513189937777485,0.9999723174752053,10.520505905151367
59,28.13080821006967,0.0015378684205939687,0.9999630814522106,10.440080881118774
60,30.72787085798888,0.0008456933473025598,0.9999793985946247,10.345550537109375
61,29.62736123095621,0.001089591927242427,0.9999669341213471,10.141639232635498
62,29.80050622398247,0.0010470064993688983,0.9999716116161574,10.049285173416138
63,30.11987415616797,0.0009727754111053631,0.999974441901838,10.314320087432861
64,30.928655321914764,0.0008074850079393535,0.9999779397467926,10.382689476013184
65,30.214953255327174,0.0009517100916548948,0.9999727995100501,10.730172395706177
66,29.12131378188921,0.0012242457973085645,0.9999664164790663,10.185134649276733
